unique_id,usage_count,regulation,days,hours,hrs_begin,hrs_end,regdetails,rpparea1,exceptions,from_time,to_time,hrlimit,golden_action,golden_summary,golden_severity,golden_days,golden_hours,golden_time_limit_minutes,golden_exceptions,golden_details,notes
d8fa870755811c77af4b748c3ed4cf76,717,Time limited,M-F,800-2100,800,2100,,S,Yes. RPP holders are exempt from time limits.,8am,9pm,2,,,,,,,,,
b99ce9e5f124feb36cb7ccfe1d93fd98,508,Time limited,M-Sa,800-2100,800,2100,,A,Yes. RPP holders are exempt from time limits.,8am,9pm,2,,,,,,,,,
8d37d19c38ab2ac3f3e4f425d678580f,507,No oversized vehicles,M-Su,2400-600,2400,600,Oversized vehicles and trailers are those longer than 22 feet or taller than 7 feet,,Yes. Typical passenger vehicles are exempt.,12am,6am,0,,,,,,,,,
16cae8338d30011408986a42b631ec6e,473,Time limited,M-F,800-1800,800,1800,,G,Yes. RPP holders are exempt from time limits.,8am,6pm,2,,,,,,,,,
a4b856444445c3af1b923d83dca7dc8e,316,Time limited,M-F,800-1800,800,1800,,O,Yes. RPP holders are exempt from time limits.,8am,6pm,2,,,,,,,,,
da387d7186e052f3348952dfd61786c1,246,Time limited,M-F,800-1800,800,1800,,K,Yes. RPP holders are exempt from time limits.,8am,6pm,2,,,,,,,,,
98a671f9b60782a17cc8b27e95a026fd,240,Time limited,M-F,900-1800,900,1800,,N,Yes. RPP holders are exempt from time limits.,9am,6pm,2,,,,,,,,,
991c1648e84555e1a8cd1d953fab7083,236,Time limited,M-F,800-1800,800,1800,,M,Yes. RPP holders are exempt from time limits.,8am,6pm,2,,,,,,,,,
83784c98fbaaa5b8972d4202ed30c107,236,Time limited,M-F,800-1800,800,1800,,V,Yes. RPP holders are exempt from time limits.,8am,6pm,2,,,,,,,,,
4a2a204fc0cf54378cb8958906b70316,212,Time limited,M-F,800-1800,800,1800,,Z,Yes. RPP holders are exempt from time limits.,8am,6pm,2,,,,,,,,,
f6d09614900d1881880d87175d7783c6,205,Time limited,M-F,800-1800,800,1800,,L,Yes. RPP holders are exempt from time limits.,8am,6pm,2,,,,,,,,,
eb0a57230812a665b8b34a36c6a66f82,181,Time limited,M-Sa,800-2100,800,2100,,C,Yes. RPP holders are exempt from time limits.,8am,9pm,2,,,,,,,,,
2963c160b862253c75d1f15a23a3260d,178,Time limited,M-F,800-1700,800,1700,,J,Yes. RPP holders are exempt from time limits.,8am,5pm,2,,,,,,,,,
fe4c11d5a32480db5d9c51c7ea87913b,172,Time limited,M-F,800-1800,800,1800,,P,Yes. RPP holders are exempt from time limits.,8am,6pm,2,,,,,,,,,
72cf3b9f85957b622b3ea6fd457c41e7,150,Time limited,M-F,800-1800,800,1800,,W,Yes. RPP holders are exempt from time limits.,8am,6pm,1,,,,,,,,,
6ac1d54a3a50fa6c0b92bf35d3f708a3,139,Time limited,M-F,900-1700,900,1700,,D,Yes. RPP holders are exempt from time limits.,9am,5pm,4,,,,,,,,,
672fc1a1d30b5b49abeffe495200c16d,124,Time limited,M-F,900-1600,900,1600,,F,Yes. RPP holders are exempt from time limits.,9am,4pm,2,,,,,,,,,
802f7a9fc21f9daee6a625395583e69a,116,Time limited,M-F,900-2000,900,2000,,Q,Yes. RPP holders are exempt from time limits.,9am,8pm,2,,,,,,,,,
912bf705ab813153e5a5ed080b03b0d6,116,Time limited,M-F,800-1800,800,1800,,H,Yes. RPP holders are exempt from time limits.,8am,6pm,2,,,,,,,,,
eb0e403e737ebbcd292d0001c3f91aac,107,Time limited,M-F,800-1800,800,1800,,J,Yes. RPP holders are exempt from time limits.,8am,6pm,2,,,,,,,,,
e680058c2852df310764e99d61e2ce32,101,Time limited,M-Sa,900-1800,900,1800,,I,Yes. RPP holders are exempt from time limits.,9am,6pm,1,,,,,,,,,
4f008da93e0ebb933cfa15e73132d5e4,95,Time limited,M-F,800-1800,800,1800,,E,Yes. RPP holders are exempt from time limits.,8am,6pm,2,,,,,,,,,
684d191c3e193363700d0884ed29d4e2,79,Time limited,M-F,800-1900,800,1900,,A,Yes. RPP holders are exempt from time limits.,8am,7pm,2,,,,,,,,,
c3602bf99bc188303200056b7838ed19,74,Time limited,M-F,800-1800,800,1800,,X,Yes. RPP holders are exempt from time limits.,8am,6pm,2,,,,,,,,,
6b0ea38436cbe3e9bfc30d465e25fe13,71,Time limited,M-F,800-1800,800,1800,,K,Yes. RPP holders are exempt from time limits.,8am,6pm,3,,,,,,,,,
4b57f898782faf3aa39bc6a5f9e5fef0,69,Time limited,M-F,800-1800,800,1800,,Q,Yes. RPP holders are exempt from time limits.,8am,6pm,2,,,,,,,,,
250eabce449d16f684e63a93da40d138,68,Time limited,M-F,800-1500,800,1500,,T,Yes. RPP holders are exempt from time limits.,8am,3pm,2,,,,,,,,,
a11f6e8fd05f1f5cc2f04d268fe3b04a,66,No parking any time,,,,,Streetview verified November 2016,,None. Regulation applies to all vehicles.,,,,,,,,,,,,
503bf377680430fe4168971fd58f2fe7,63,Time limited,M-F,700-1800,700,1800,,D,Yes. RPP holders are exempt from time limits.,7am,6pm,2,,,,,,,,,
4a634cc30740bfceede75a317df71b83,61,Time limited,M-Sa,700-1800,700,1800,,,None. Regulation applies to all vehicles.,7am,6pm,2,,,,,,,,,
89133b9bce2d2da4890cdb63c2d4c770,58,Time limited,M-Sa,900-1800,900,1800,,R,Yes. RPP holders are exempt from time limits.,9am,6pm,2,,,,,,,,,
e15708fc137ab9a309fcc82736617a9d,51,Time limited,M-F,800-1800,800,1800,,A,Yes. RPP holders are exempt from time limits.,8am,6pm,2,,,,,,,,,
b023f620f5323916236030c672f4ad8a,51,Time limited,M-F,800-1800,800,1800,,H,Yes. RPP holders are exempt from time limits.,8am,6pm,1,,,,,,,,,
c1f7be005d41bcca8cbbc455d0e7e401,50,Time limited,M-F,800-1800,800,1800,08-055,,None. Regulation applies to all vehicles.,8am,6pm,4,,,,,,,,,
3c7ea442922934f73517bf2c1f92398c,49,Pay or Permit,M-Sa,900-2100,900,2100,,HV,Yes. RPP holders are exempt from payment.,8am,9pm,72,,,,,,,,,
32ce16ad8dddf7804cbf8768d8b39e82,48,Time limited,M-Sa,900-2100,900,2100,,HV,Yes. RPP holders are exempt from time limits.,8am,9pm,2,,,,,,,,,
6c8a65a19139416bfa29721fb76d6a1f,46,Time limited,M-F,800-1800,800,1800,,,None. Regulation applies to all vehicles.,8am,6pm,4,,,,,,,,,
7ef2bd6293f9fb1d504ad48f392a03b1,45,Time limited,M-F,800-1800,800,1800,,W,Yes. RPP holders are exempt from time limits.,8am,6pm,2,,,,,,,,,
44aa154b75d78307f5dfcefa27febf34,44,No parking any time,,,0,0,Possibly prohibiting curbside parking due to Folsom construction or b/c new parking protected bike l,,None. Regulation applies to all vehicles.,,,,,,,,,,,,
6a972a9c0a96464fe759aa6161feba79,44,Time limited,M-F,800-1800,800,1800,,E,Yes. RPP holders are exempt from time limits.,8am,6pm,1,,,,,,,,,
fdc527402c245f22d523e09186b29292,42,Time limited,M-F,800-1500,800,1500,,T,Yes. RPP holders are exempt from time limits.,8am,3pm,4,,,,,,,,,
786cac750d66b5943416bb26986b9d7d,39,Time limited,M-Su,800-2200,800,2200,,U,Yes. RPP holders are exempt from time limits.,8am,10pm,1,,,,,,,,,
6f45d04e68def8a991867e060d4a616c,37,Time limited,M-F,900-1700,900,1700,,CC,Yes. RPP holders are exempt from time limits.,9am,5pm,2,,,,,,,,,
88296fc29d58cb763b815292c8e1d8f4,35,Time limited,M-F,900-1700,900,1700,,B,Yes. RPP holders are exempt from time limits.,9am,5pm,2,,,,,,,,,
42d4ab15ec304b50a3f120e4a7052dec,34,Time limited,M-F,800-1600,800,1600,,DD,Yes. RPP holders are exempt from time limits.,8am,4pm,2,,,,,,,,,
377db360e07db53bb203f315ee53480b,34,No parking any time,,,0,0,,,None. Regulation applies to all vehicles.,,,,,,,,,,,,
1cacc9bbd88f5feded9aaf378ebf9ea9,34,Time limited,M-Sa,700-1800,700,1800,,,None. Regulation applies to all vehicles.,7am,6pm,1,,,,,,,,,
9cef63a60075456f5f886e7871bdac85,33,Time limited,M-F,800-1800,800,1800,,G,Yes. RPP holders are exempt from time limits.,8am,6pm,3,,,,,,,,,
ea802d7b11901857ef9122d5c483389d,33,Government permit,,0-0,0,0,,,,,,0,,,,,,,,,
0f8949a98e28cdf0ca0c2752d6ab987e,33,Time limited,M-Sa,900-2100,900,2100,,HV,Yes. RPP holders are exempt from time limits.,9am,6pm,2,,,,,,,,,
4459b091c57919fdc82dfe2bcde794b9,33,Time Limited,M-F,800-1800,800,1800,,AA,Yes. RPP holders are exempt from time limits.,8am,6pm,2,,,,,,,,,
e63a4861f1d37b1fe622a1dfe378da60,32,Time limited,M-Sa,800-1800,800,1800,"MM. ESTABLISH – 4-HOUR TIME LIMIT, 8 AM TO 6 PM, EXCEPT SUNDAYS",,None. Regulation applies to all vehicles.,8am,6pm,4,,,,,,,,,
b5707d0cfb04f8c6ecb180dece520ce1,29,Time limited,M-F,800-1800,800,1800,,F,Yes. RPP holders are exempt from time limits.,8am,6pm,2,,,,,,,,,
18c8807646223ee977e8dd67813409b6,29,Time limited,M-F,900-1600,900,1600,,F,Yes. RPP holders are exempt from time limits.,9am,4pm,3,,,,,,,,,
f5d099631d2580d25f62728255c10c63,28,Time limited,M-F,800-2000,800,2000,,BB,Yes. RPP holders are exempt from time limits.,8am,8pm,2,,,,,,,,,
4b79b7adc1ec737a84f472227afd2f57,27,Time limited,M-F,700-1900,700,1900,,J,Yes. RPP holders are exempt from time limits.,7am,7pm,2,,,,,,,,,
31167e3937ee0bcda6ed88a0b9403d9f,24,Time limited,M-F,0900-2000,900,2000,,Q,Yes. RPP holders are exempt from time limits.,9am,8pm,2,,,,,,,,,
e06cb08e2fef5360dba2351d29760fd7,24,Time limited,M-Sa,800-2200,800,2200,,EE,Yes. RPP holders are exempt from time limits.,8am,10pm,1,,,,,,,,,
88f79a1954642b937f4f37f0c11bfdbf,23,Time limited,M-Sa,900-1800,900,1800,,I,Yes. RPP holders are exempt from time limits.,9am,6pm,2,,,,,,,,,
fbc5e550cabf8b12a206705544cc4dee,23,Time limited,M-Sa,800-2200,800,2200,,EE,Yes. RPP holders are exempt from time limits.,8am,10pm,2,,,,,,,,,
4f69eb5ae447e9bf276012f1fe40025f,22,Time limited,M-F,700-1800,700,1800,,,None. Regulation applies to all vehicles.,7am,6pm,4,,,,,,,,,
709bdef8852cf6819ca1878fed03cdc3,21,Time limited,M-Sa,700-1800,700,1800,16-132,,None. Regulation applies to all vehicles.,7am,6pm,1,,,,,,,,,
731c295cb2a3dfbed231080b2cebb924,19,Time limited,M-F,700-1800,700,1800,,,None. Regulation applies to all vehicles.,7am,6pm,3,,,,,,,,,
01ccbdfb413a5d2a6f8dd43cbf934b6e,17,,,,,,,,,,,,,,,,,,,,
0a7c275ff8f8b9241025756bb076cc27,16,Time limited,M-Su,800-2200,800,2200,,U,Yes. RPP holders are exempt from time limits.,8am,10pm,2,,,,,,,,,
9d0832b8ccc4e21ee789d560bc5a23bb,15,Time limited,M-F,800-1800,800,1800,,L,Yes. RPP holders are exempt from time limits.,8am,6pm,4,,,,,,,,,
80ca9824f5d613cce3b30362b884977b,15,Time limited,M-Sa,800-2300,800,2300,MON - FRI: 8AM - 11PM; SAT: 5PM - 11PM,G,Yes. RPP holders are exempt from time limits.,8am,11pm,2,,,,,,,,,
8599c5f812feb36eb3d23f54fef3516f,14,Time limited,M-Su,700-2100,700,2100,,J,Yes. RPP holders are exempt from time limits.,7am,9pm,2,,,,,,,,,
4a0caf3eadd8b758b6bdb4ee994456d4,14,Time limited,M-F,900-2000,900,2000,,Q,Yes. RPP holders are exempt from time limits.,9am,8pm,4,,,,,,,,,
e0a7e677241a3f8300a3c9e60cd4f86b,14,Time limited,M-F,800-1800,800,1800,,T,Yes. RPP holders are exempt from time limits.,8am,6pm,2,,,,,,,,,
14659cc9332f382daf93290f5940120e,13,Time limited,M-F,900-1800,900,1800,,F,Yes. RPP holders are exempt from time limits.,9am,6pm,2,,,,,,,,,
68e774dd0cd11cced2394291d324d8ad,12,Time limited,M-F,800-1800,800,1800,,U,Yes. RPP holders are exempt from time limits.,8am,6pm,2,,,,,,,,,
ff22e950a36d496dc7ee48b4849f00a8,12,Time limited,M-Sa,800-1800,800,1800,,,None. Regulation applies to all vehicles.,8am,6pm,1,,,,,,,,,
1f6bfb75fde1bb5a6e31cdbf5731073d,11,Time limited,,700-1800,700,1800,Streetview verified - June 2015,,None. Regulation applies to all vehicles.,7am,6pm,1,,,,,,,,,
3c571847f720f5cc4c1242f1a3e4568b,10,Time limited,M-Su,900-2200,900,2200,,Y,Yes. RPP holders are exempt from time limits.,9am,10pm,2,,,,,,,,,
5ce5c2962c820f8f6a5967bf042d73d5,10,Time limited,M-F,800-1800,800,1800,,E,Yes. RPP holders are exempt from time limits.,8am,6pm,4,,,,,,,,,
edfee33dae5350142c93ecbc8e4edc82,10,Time limited,M-F,800-1600,800,1600,04-040,,None. Regulation applies to all vehicles.,8am,4pm,2,,,,,,,,,
59c59dc06fa364ef25d451c9a9f93361,10,Time limited,M-F,900-1800,900,1800,,U,Yes. RPP holders are exempt from time limits.,9am,6pm,2,,,,,,,,,
6bb028c239a800690327a78f6a277352,10,Time limited,M-Su,800-2200,800,2200,,Y,Yes. RPP holders are exempt from time limits.,8am,10pm,2,,,,,,,,,
bec710ee0e1cabef397744731b6dba66,10,No parking any time,,,,,,,None. Regulation applies to all vehicles.,,,,,,,,,,,,
15973d36549f28a214ca14af128f7801,9,Time limited,M-Sa,800-2300,800,2300,MON - FRI: 8AM - 11PM; SAT: 5PM - 11PM,C,Yes. RPP holders are exempt from time limits.,8am,11pm,2,,,,,,,,,
715e9c9749f7e515805dec10a21451ca,9,Time limited,M-Sa,800-2100,800,2100,"MON - SAT: 8AM - 3PM, 6PM - 9PM",C,Yes. RPP holders are exempt from time limits.,8am,9pm,2,,,,,,,,,
004f96f0ac35793b0d93ee5c4d148a03,9,Time limited,M-F,800-1700,800,1700,,S,Yes. RPP holders are exempt from time limits.,8am,5pm,2,,,,,,,,,
538fc819d4862d7f3b339a1c6025e5eb,9,Time limited,M-S,700-1800,700,1800,,,None. Regulation applies to all vehicles.,7am,6pm,2,,,,,,,,,
83dc046dce68e1031fda8a55620e20e0,8,Time limited,M-F,800-1800,800,1800,,F,Yes. RPP holders are exempt from time limits.,8am,6pm,3,,,,,,,,,
15eae146c96e46982d5f817ef86092a9,8,Time limited,M-Sa,900-1800,900,1800,,N,Yes. RPP holders are exempt from time limits.,9am,6pm,2,,,,,,,,,
4e196fbed8124d6ff6acf81b7cfdec8f,8,Time limited,M-F,800-1600,800,1600,,,None. Regulation applies to all vehicles.,8am,4pm,2,,,,,,,,,
5ab852445b6d3d9d4a326b41ebfeda08,7,Pay or Permit,M-Sa,900-2100,900,2100,,HV,Yes. RPP holders are exempt from payment.,8am,6pm,72,,,,,,,,,
e7d6bfcb639e9eb0a1fc3c22abe7b675,7,No overnight parking,"M, TH",2400-400,2400,600,"Part of a series of regs from the same resolution item Y. ESTABLISH – TOW-AWAY NO STOPPING, 12:01 AM",,,,,,,,,,,,,,
622f121a3d0121b8fb2f66e1ca112bca,7,No overnight parking,,2200-600,2200,600,,,None. Regulation applies to all vehicles.,10pm,6am,0,,,,,,,,,
c6e56e0f44517228cd9cee6f87da81e0,6,Time limited,M-F,900-1700,900,1700,test_buffer,D,Yes. RPP holders are exempt from time limits.,9am,5pm,4,,,,,,,,,
cbfee1156a66c6b93a9ea35135881a8c,6,No parking any time,,,0,0,,,,,,,,,,,,,,,
a01649722769507fc06a39c554f7ec6a,6,Time limited,M-Sa,800-2200,800,2200,,X,Yes. RPP holders are exempt from time limits.,8am,6pm,2,,,,,,,,,
0376915558a951274696a46e66c0a67c,6,Time limited,M-F,900-1700,900,1700,"Z. ESTABLISH – 4-HOUR TIME LIMIT, 9 AM TO 5 PM, MONDAY THROUGH FRIDAY – Barneveld Avenue, both sides",,,,,4,,,,,,,,,
d8789bf691156778beacdee054a99c88,6,Time limited,M-F,800-1800,800,1800,,S,Yes. RPP holders are exempt from time limits.,8am,6pm,2,,,,,,,,,
29d3c09b8e6f3ee13157efe34b6f9ae5,6,No oversized vehicles,M-Su,2400-600,2400,600,Oversized vehicles and trailers are those longer than 22 feet or taller than 7 feet,,Yes. Typical passenger vehicles are exempt.,12am,6am,,,,,,,,,,
c094525a9651a696c95512f4e34da1d0,6,Time limited,M-Sa,800-2200,800,2200,"MON - SAT: 8AM - 3PM, 7PM - 10PM",C,Yes. RPP holders are exempt from time limits.,8am,10pm,2,,,,,,,,,
bdc609e7f67e9186c3b8602a41b876eb,6,Time limited,M-F,800-2100,800,2100,,I,Yes. RPP holders are exempt from time limits.,8am,9pm,2,,,,,,,,,
7e3b49f53f6ce48d4120d8d03ea694df,5,Time limited,M-Sa,700-1800,700,1800,,,None. Regulation applies to all vehicles.,7am,6pm,4,,,,,,,,,
39fddb6e806ba975ad0f5e392b6ccdb4,5,Time limited,M-F,800-1600,800,1600,,H,Yes. RPP holders are exempt from time limits.,8am,4pm,2,,,,,,,,,
ec5d8be6ec1ef6260824d11df06f6de9,5,Time limited,M-Sa,800-2100,800,2100,,A,Yes. RPP holders are exempt from time limits.,8am,9pm,1,,,,,,,,,
21c780778409e0aa5d33ca03c3b4788d,5,Time limited,M-F,700-1800,700,1800,,D,Yes. RPP holders are exempt from time limits.,7am,6pm,1,,,,,,,,,
f0a9804c0b24cf8057102f5535f58e88,5,No oversized vehicles,M-Su,2400-600,2400,600,Oversized vehicles and trailers are those longer than 22 feet or taller than 7 feet,,Yes. Typical passenger vehicles are exempt.,,,0,,,,,,,,,
f132da7d614969a424fc4af3717e9733,5,Limited No Parking,M-Su,2400-600,2400,600,,,None. Regulation applies to all vehicles.,,,,,,,,,,,,
6d9a46b4573aac13fe5ba64d90f10cf4,5,Time limited,,700-1200,700,1200,Streetview verified - June 2015,,None. Regulation applies to all vehicles.,7am,12pm,2,,,,,,,,,
da61ed1fc175e59b5ac5e99b0320fe09,5,Time limited,M-F,700-1800,700,1800,,,None. Regulation applies to all vehicles.,7am,6pm,2,,,,,,,,,
15fd1c7cd0ea86926a05df8962578312,4,Time limited,M-Sa,800-2100,800,2100,,K,Yes. RPP holders are exempt from time limits.,8am,9pm,2,,,,,,,,,
fde378c092ed9e6e305bf8bdf7e8a7fd,4,No oversized vehicles,M-Su,2400-600,2400,600,Oversized vehicles and trailers are those longer than 22 feet or taller than 7 feet,,,,,,,,,,,,,,
6a87463ddb59ce1be2729b57db33d514,4,No parking any time,M-Su,,0,0,,,,,,0,,,,,,,,,
b334544742e66de5facd7dc21e364b4e,4,Time limited,M-F,900-1800,900,1800,,,None. Regulation applies to all vehicles.,9am,6pm,4,,,,,,,,,
49d6488443f473f8b5fe07f9773fde28,4,Time limited,M-F,800-1800,800,1800,,N,Yes. RPP holders are exempt from time limits.,8am,6pm,2,,,,,,,,,
a86c8fb3214e0d1f80fd6b8d936810d2,4,Time limited,M-F,900-1700,900,1700,,D,Yes. RPP holders are exempt from time limits.,9am,5pm,2,,,,,,,,,
cdf7b8169e78b4eec90b9f9e812f5f42,4,Time limited,M-F,800-1800,800,1800,,I,Yes. RPP holders are exempt from time limits.,8am,6pm,2,,,,,,,,,
c99709697fb537d2e2b628432ec1f20f,4,Time limited,M-Sa,800-2100,800,2100,,S,Yes. RPP holders are exempt from time limits.,8am,9pm,2,,,,,,,,,
0d7a605fb44eaf8b2d5d128ef16bb851,4,Time limited,M-Sa,800-1600,800,1600,,C,Yes. RPP holders are exempt from time limits.,8am,4pm,2,,,,,,,,,
0da6ecafc88a5b895160d0b003761212,4,Government permit,,0-0,0,0,,,,,,,,,,,,,,,
bf29b61f2fa5840782cfb95b3d92d6e8,4,Time limited,M-F,700-2030,700,2030,test_buffer,D,Yes. RPP holders are exempt from time limits.,7am,830pm,1,,,,,,,,,
c8c7e1ba05cc0be5c2b449ede5afe1bc,4,Time limited,M-Sa,900-2000,900,2000,,I,Yes. RPP holders are exempt from time limits.,9am,8pm,2,,,,,,,,,
49b301a0b876f8ecfdb99215abc86b50,3,Time limited,M-F,900-1800,900,1800,,F,Yes. RPP holders are exempt from time limits.,9am,6pm,4,,,,,,,,,
910fdeddd389f09d23d7eee6645d296e,3,Time limited,M-Su,800-2100,800,2100,,G,Yes. RPP holders are exempt from time limits.,8am,9pm,2,,,,,,,,,
caa6b338739ac252daba9e84a3abba77,3,No parking any time,,,,,Streetview enabled November 2016,,None. Regulation applies to all vehicles.,,,,,,,,,,,,
1a9b45fa6c78c0863dc6f6f44efaf456,3,Time limited,M-Sa,800 - 1800,800,1800,"MM. ESTABLISH – 4-HOUR TIME LIMIT, 8 AM TO 6 PM, EXCEPT SUNDAYS",,None. Regulation applies to all vehicles.,8am,6pm,4,,,,,,,,,
f42555ae2e8c4f812cdd65f01bda56d4,3,Time limited,M-Sa,800-1800,800,1800,"MM. ESTABLISH – 4-HOUR TIME LIMIT, 8 AM TO 6 PM, EXCEPT SUNDAYS",,None. Regulation applies to all vehicles.,8am,6pm,0,,,,,,,,,
e4a911092f93be82a9f899cafc8b9d9f,3,Time limited,,700-1800,700,1800,Streetview verified - July 2015,,None. Regulation applies to all vehicles.,7am,6pm,1,,,,,,,,,
f09c6267f7fac33c232599659bbbdf22,3,Time limited,M-F,800-1800,800,1800,,C,Yes. RPP holders are exempt from time limits.,8am,6pm,2,,,,,,,,,
3d83697e677bd1d8d98f8f80d25aa408,3,Time limited,M-F,800-1800,800,1800,,P,Yes. RPP holders are exempt from time limits.,8am,6pm,4,,,,,,,,,
75c82430084c29fe258f18b5b72a0ecf,3,Time limited,M-F,900-2100,900,2100,,S,Yes. RPP holders are exempt from time limits.,9am,9pm,2,,,,,,,,,
8d9c1b56d75938609a87d959fcd4095d,3,Time limited,M-Sa,800-1800,800,1800,,,None. Regulation applies to all vehicles.,8am,6pm,4,,,,,,,,,
19cf6fe26b8457d42a182add969b2af4,3,Time limited,M-Sa,900-1800,900,1800,,,None. Regulation applies to all vehicles.,9am,6pm,2,,,,,,,,,
494f52124cbbb28ac6e847d16c5e58bf,3,Time limited,M-F,700-1800,700,1800,08-055,,None. Regulation applies to all vehicles.,7am,6pm,4,,,,,,,,,
2763d414c1a84845fffb4e401503f7a4,3,Time Limited,M-Sa,700-1800,700,1800,,,None. This regulation applies to all vehicles.,700,1800,4,,,,,,,,,
54cdc0ab6924f04f19741edf2fb1ba3f,3,Time limited,M-Su,0-0,0,0,11-117,,None. Regulation applies to all vehicles.,,,12,,,,,,,,,
b45f05bdeb2ce5c8095630d9865394fc,3,Time limited,M-F,900-1800,900,1800,,D,Yes. RPP holders are exempt from time limits.,9am,6pm,4,,,,,,,,,
94370334d6c0ff72a7962dc209dd755c,3,Time limited,M-F,0-0,0,0,04-040,,None. Regulation applies to all vehicles.,,,2,,,,,,,,,
d24c67e14e1076ac93ef5233ddbffd18,3,Time limited,M-Sa,900-1800,900,1800,,,No,9am,6pm,4,,,,,,,,,
97b7da7fa6e26fbaa16340dcb115519a,2,Time limited,m-f,900-1800,900,1800,"Monday through Friday, except vehicles with an area N permit",N,Yes. RPP holders are exempt from time limits.,,,2,,,,,,,,,
edb86fea9009428b6737df1a4914b4f6,2,Government permit,,0-0,0,0,,,Only marked SFPD vehicles are able to park here.,,,0,,,,,,,,,
895cfc8afe822a9ff2b0864bcc8820cf,2,Time limited,M-F,800-1800,800,1800,,Q,Yes. RPP holders are exempt from time limits.,8am,6pm,4,,,,,,,,,
68907d4f181de994e9a848a2fdb933a1,2,Government permit,,0-0,0,0,Shortened in edit pursuant to 170606-067 MOTION CC.,,,,,0,,,,,,,,,
c5f51f9b00f0821bfbdd1e8efe9d0428,2,Time limited,M-Sa,700-1700,700,1700,,,None. Regulation applies to all vehicles.,7am,5pm,4,,,,,,,,,
848a120c3d871e3238c60c20cbdc44d5,2,Time limited,M-F,900-2100,900,2100,,Y,Yes. RPP holders are exempt from time limits.,9am,9pm,2,,,,,,,,,
0757b7195cdba249ec17f84aebcd4122,2,Pay or Permit,M-Sa,900-2100,900,2100,,HV,Yes. RPP holders are exempt from payment.,9am,9pm,72,,,,,,,,,
23b7f59a3ef581bc621f0642f9c3bebb,2,Time limited,M-F,800-1800,800,1800,,,None. Regulation applies to all vehicles.,8am,6pm,2,,,,,,,,,
38fc80e61cf9ca9f3393f3df773b406d,2,Time limited,M-F,800-1800,800,1800,,U,Yes. RPP holders are exempt from time limits.,8am,6pm,1,,,,,,,,,
16cedf3802677141c927428abaf984b3,2,Time Limited,M-F,800-1800,800,1800,,AA,,,,2,,,,,,,,,
0ee15c87f93aa266d19ee82fb0a6d95a,2,No overnight parking,,1800-600,1800,600,,,None. Regulation applies to all vehicles.,6pm,6am,0,,,,,,,,,
8f883a795b1044abe3bcebcd387b1f2c,2,Limited No Parking,M-Su,300-600,300,600,,,None. Regulation applies to all vehicles.,,,,,,,,,,,,
